Item Number,Item,Item Tagged with Number for Copy/Pasting,2022 RFP Inclusion Status,Item Owner,Validated by Owner,Location (Statewide vs. targeted cities/counties/ZIPS),Health Plan Contact(s),National Contact(s),Functional Area,Description (CAPABILITY DESCRIPTION),"Selling Points (HOW IT'S IMPORTANT TO NM)
- What does the state want to hear about this?
- How can we best explain the value of this?",Population Impacted/Targeted,"Data Demonstrating Effect
- Consider both outcome metrics (e.g. improved utilization rates or quality metrics) and process metrics (number of members/providers engaged, activities performed, etc.)
INTENDED RESULTS/PROOF POINT","Data Demonstrating Need
- What data best illustrates the problem this solution is solving?
WHY? (Pop Health data/Go to Market)",Link to Documentation,Existing or New in RFP,Table Stakes or Differentiation,"PopHealth Strategy: Empower Members
(direct-to-member)","PopHealth Strategy: Evolve Care
(provider & health system)","PopHealth Strategy: Engage Communities
(beyond our members/ providers)",Maternity and NICU,Access to Care,LTSS,SDOH,Care Coordination,Justice Involved,Member Experience,CISC (Children in State Custody),Native Americans,Young Adult_Kids,Community_Based_HP,Behavioral Health,Notes/Comments,VAB Flag ,Clinical Integration ,PMPM,DOA Capital Size
1,Optum 24/7 SUD Helpline ,Optum 24/7 SUD Helpline  (RFP Cat. #1),Committed,Shaun Pamphile,,State-wide   ,Tracy Townsend,Blaine Bergeson,Community Engagement,"Payer agnostic resource. The SUD helpline is an anonymous helpline for people who want to speak with a clinician about SUD treatment. If they are a UHC member, and choose to pursue treatment, a licensed clinician will refer them to their preferred type of care.",- Payer agnostic SUD resource for New Mexicans that demonstrates UHC commitment to addressing SUD for all people. Payer agnostic solutions symbolize UHC leading the charge to creat the health plan of the future.,All members. Pregnant Women experiencing SUD. ,,"-For nearly four decades, New Mexico has ranked among the highest in the nation for alcohol-related death.
-In 2018, the state recorded its second highest drug overdose death rate at 26.6 deaths per 100,000 population",https://uhgazure.sharepoint.com/:p:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/01.%20Fact%20Sheets/One%20Pagers/Final%20One%20Pagers%20in%20Review%20with%20SME%20and%20McKinsey/20220911_UHCNM_MaternityCare_OnePager_strategy%20and%20feedback_vs.pptx?d=wb0c518c287cd402fbc08d9f38de0c560&csf=1&web=1&e=wqj8Wv,New in RFP,Table Stakes,x,x,,Perinatal SUD/BH Treatment,BH,Person-Centered Planning & Self-Direction,,,Care Management Program,Member Support_Intervention,,Member support_Intervention,"Engage and Support Child, Adolescent, and Family ",,Addressing SUD/OUD/AUD,,,,,
2,Babyscripts App ,Babyscripts App  (RFP Cat. #2),Committed,Will Teague,,State-wide   ,Tracy Townsend,Kathlyn Spiess,Value-Added Benefit,"The Babyscripts digital application is an interactive and moblie tool available to our expecting mothers free of cost. The app provides members with personalized content, reminders, and  interactive tools from conception through 12-month post delivery to promote best health outcomes. Members earn rewards upon enrollment and completion of the postpartum visit. The app promote member engagement with care management services by feeding data to the electronic charting system, prompting notification for outreach and care pathway creation. 

","Perinatal-specific digital app for all pregnant and postpartum members that provides prenatal and postpartum health education content, streamlines HFS rewards program, and supports engagement in care 
- Support prenatal/postpartum visit adherence and member engagement through education and interactive tools
- Daily, perinatal-specific education content 
- Easy member access to digital assessments, appointment reminders, and CM team
- Maternity- specific health assessments support risk stratification, care pathway creation, and member outreach",Pregnant Women/Maternity Members,"Members enrolled in HFS Rewards attended 14% more physician visits and have a 5.7% lower rate of ER utilization
- App launched in July 2022 – outcomes related to app are pending
","1. Nationally, 2.2M women of child-bearing age live in “maternity care deserts”. One in three of these women live in urban areas. Rural women are 9% more likely than urban women to experience a composite measure of SMM and maternal mortality, and 59% more likely to have an SUD Dx at delivery. Only 8% of all OB providers practice in rural areas. 
2.Financial incentives for healthy behaviors promote healthy decision-making and may offset economic barriers to seeking care.
3. App for pregnant women (replaced Baby Blocks). Provides educational info and resources.
",https://dev.uhcgrowthlink.com/content/uhccskmi/us/en/catalog/capabilities/maternal-and-infant-care/baby-scripts.html,New in RFP,Differentiator,X,X,X,Perinatal Care Engagement,Virtually-Enabled,,,Apps & Technology,,Member Support_Intervention,,,Reducing SDOH Barriers,,,,Yes,,,
3,Behavioral Health training ,Behavioral Health training  (RFP Cat. #3),Committed,Shaun Pamphile,,State-wide,Tracy Townsend,Lea Vassen,Care Management,"Nursing Home staff trained on how to identify local BH providers and schedule telehealth visits for residents (partner with a provider) (Differentiator)
Provide Mental Health First Aid and QPR suicide prevention training (Recovery & Resiliency Market Lead) (Differentiator)
Training to HCBS providers/families"," informal caregivers to older Americans living in non-institutional settings provide 75%-80% of total care hours. Nationwide, 40 million unpaid caregivers provide over 37 billion hours, valued at $500B. 20% of these caregivers have identified that they are experiencing burnout with another 20% at risk.  60% of family caregivers feel they do not have a choice in providing clinical tasks & provide over 24 hours per week in caregiving.  34% of family caregivers are age 65 or older with 47% of people receiving care being 75 or older. Estimated costs for C&S to replace burned out caregivers is $460M for existing membership simply to exchange for paid services; this cost increases significantly with admission into a long term care nursing facility.  By 2030, the nation will need an additional 151,000 paid caregivers and 355,000 by 2040.​",All populations/Providers/Care Givers,,"1. HCBS Community vs. NF mis rate is increasing:  5x as many members are enrolling in HCBS community risk groups compared to NF risk groups when transferring from another UHC Medicaid program.  Our programs and interventions are maintaining community placement, requiring focused care management to ensure HCBS are implemented timely and completely.​
",,New in RFP,Differentiator,x,x,x,,,Support Caregivers & Families ,,,,,,,,,,,,,,
4,Brave Health,Brave Health (RFP Cat. #4),Committed,Blaine Bergeson,,State-wide,,,Network,"Brave Health will offer direct-to-consumer tele-psych and tele-therapy visits, bringing net-new provider capacity and VBCs on PCP coordination & maternal episodes. Brave will connect and provide data with members PCP via PCP coordination case rate","- Brave health brings net new access to BH services and augments provider shortages, especially in rural communities where access issues are exacerbated.
-Increased demand for BH and continued shortage of BH practitioners is exacerbating challenges in accessing care.
-High prevalence of ""disease of despair"" including SUD/OUD/AUD, depression, and suicide.",All members. Maternity members,"- Brave Health encounters reduced the overall trend adjusted medical spend by
approximately 16.3% for members referred. Overall trend adjusted Rx spend
increased by 11.1%. Rx spend was expected to increase as members engaged in
supportive therapies.
- Member receive apoointment in less than 7 days
- See documentation for more proof poitns"," 3rd highest elderly rate in the nation 26.5%
Highest rate of elderly in poverty in the nation
50% of NA are rural/50% are urban in state
Huge disparities with other demographics
Food insecurity- NM nationally ranks 44/50*
Poverty rate 20.01% of the population is in poverty — significantly higher  than the national rate of 14.05% — including 28.09% of the  state’s children.",https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/Brave?csf=1&web=1&e=qRAFaM,New in RFP,,X,,,Rural and Frontier Access to Care,Virtually-Enabled,Person-Centered Planning & Self-Direction,,Apps & Technology,Pre-Release Planning,Member Support_Intervention,,,,,BH Access,Data exchange,,Non-integrated,0,0
5,Bright Heart Health ,Bright Heart Health  (RFP Cat. #5),Committed,Arturo Cruz,,State-wide   ,Tracy Townsend,Ryan Schleuger,Network,"Comprehensive telehealth SUD provider, including tele-MAT that provides medical and behavioral health services, to increase timely access to treatment for individuals with substance use disorders. Available for referrals from care management, local health care providers, and self-referral.  

Use of direct-to-consumer tele-MAT services can be accessed dirctly on website or by call-in center or provider or care manager referral and warm hand off. Member intake is on-deamnd 24/7 that lasts less than 5 minutes, with a provider following up with member for an assessment withing 24-72 hours. Appointments can be offered during off-hours to promote access to care. Members are assigned to a treatment team that provides individual and group therapy, MAT treatment (as appropiate), education and support needed to address both addiction and co-occuring mental health issues. Councelors meet with individual online via telemedicine and help identify and develop stragegies to deal with the issues and disorders that may have contributed to or been impacted by opiod abise

Contracted for capability since 2019- video connection and recent approval for chat function. CM referrals can be done to refer to Bright heart health. In WA, MAT is a feature. Also have broader SUD, mental health, Chronic pain assessment, eating disorders. Support perinatal SUD treatment gaps with coordinated tele-MAT ","Expanding provider capacity and increasing access-to-care, especially in rural/forntier areas. Solutions to address OUD.","Members experiencing OUD, including Pregnant Women","- 88% of members  30 day retention in treatment
- 41% of membrs  90 day retention in treatment
- 77% of members had negative drug use screen for opiates, stimulants, and sedatives at 90 days of treatment
- Members enrolled and adherant to program experience an 8% reduction in total medical expense","-For nearly four decades, New Mexico has ranked among the highest in the nation for alcohol-related death.
-In 2018, the state recorded its second highest drug overdose death rate at 26.6 deaths per 100,000 population",https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/Bright%20Heart%20Health?csf=1&web=1&e=9vWcty,New in RFP,Differentiator,x,x,,Perinatal Care Management,Virtually-Enabled,Rural,,Apps & Technology,Post-Release Outreach,Member Support_Intervention,,Member support_Intervention,,,Addressing SUD/OUD/AUD,Data exchange,,Non-integrated,0,0
6,DOH SBHC Partnership,DOH SBHC Partnership (RFP Cat. #6),Committed,Peter Morrison,,State-wide,Drew Peterson,,Government & Academic Partnerships ,"Please see documentaion for details
UHC will partner with New Mexico Department of Health Office of Adolescent Health (DOH) and the New Mexico Alliance for School-based Healthcare (NMASBHC) to support the expansion and enhancement of physical and behavioral health services provided with and through SBHCs and school districts. Through various meetings we are listening and learning how best to allocate UHC resources to fill critical gaps in school-based health and prevention services, and to improve equitable access and health outcomes in alignment with State, community, provider and member priorities and needs. The commitmment will include but not limit to

-UHC will sponsor the development of new SBHC(s) (including Goodside)
-UHC will support, augment or create an evidence-based Suicide Prevention Campaign through schools and across the State. 
-UHC is launching community-based service hubs across the state which will be open to the public and could be explored as a space for collaboration with DOH and NMASBHC, the provider community, and the surrounding schools to serve the student population and their families. 
-UHC will partner with DOH, schools and other interested stakeholders to provide deep and predictive data to inform community health activities and illness prevention interventions. ","- Access to care
- Partnering with state agencies, local communities and school districts to expand BH/PH school-based care
- Strategies to promote suicide awareness","Children including tribal, rural, and foster care",,,https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/DOH%20SBHC%20Partnership?csf=1&web=1&e=rdeZse,New in RFP,Differentiator,X,X,X,,School-based,,,,,,,,,,Integration,,,,,
7,Doulas,Doulas (RFP Cat. #7),Committed,Kathlyn Spiess,,State-wide   ,Tracy Townsend,Kathlyn Spiess,Care Management,"Doulas provide emotional, educational, and physical support through a birthing person's perinatal journey. Services typically include multiple prenatal visits, continuous in person support during labor and delivery, multiple postpartum visits, and 24/7 phone/text access to doula support. Doulas empower members through education, support to engage in perinatal care, assessment for SDOH and BH conditions, lactation support, and hands on labor support. 
Note: Doulas are not clinical providers and do not coordinate any clinical services with providers. 
","Increase access to doula care through workforce capacity development and payment for doula services
Support perinatal workforce development through capacity building investments with the NM Doula Association
-	Provide direct doula support to pregnant people in all 4 quadrants of NM through funding to NM Doula Association
-	Thought leadership and support to stand up doula benefit in the state based on experience across other markets
-	Improve perinatal outcomes through evidence-based strategy
-	Address racial/ethnic and geographic disparities in outcomes through evidence-based intervention",Pregnant Women/rural/NA,"1. Peer reviewed literature demonstrates:
-	22% reduction in preterm birth in Medicaid population
-	39% reduction in cesarean rates
-	Reductions in PTB (49%) and LBW (41%) among Black pregnant people
2. UHC Pilot data from multiple markets pending
3. Previously invested $50K to the NM Doula Association to provide full-spectrum doula services for ~40 pregnant people across the state 
4. Potential for 115 waiver to include doula services as a covered benefit","1. Significant health disparities exist in maternal health, driven by race/ethnicity, geographic location, and socio-economic status. Women with SMM are more likely to be poor, older, delivered by cesarean, black, and enrolled in Medicaid.  
2. Nationally, 2.2M women of child-bearing age live in “maternity care deserts”. One in three of these women live in urban areas. Rural women are 9% more likely than urban women to experience a composite measure of SMM and maternal mortality, and 59% more likely to have an SUD Dx at delivery. Only 8% of all OB providers practice in rural areas. 
3. Black birthing people in NM experience PTB rates 50% higher and LBW rates 63% higher than the state average
-	AI/AN have the lowest engagement in first trimester care (55%), 22% lower than white birthing people
-	AI/AN have the highest rate of inadequate prenatal care (35% of AI/AN birthing people do not get adequate prenatal care) – 48% higher than the state average
-	13 counties in NM are designated as maternity care deserts
",In development,New in RFP,Differentiator,x,x,x,Doulas,Workforce Development,,,Care Mgmt Teams and SME,,Member Support_Intervention,,,,,,,,,,
8,EMOD (Environmental Modification)-/Home Modifications ,EMOD (Environmental Modification)-/Home Modifications  (RFP Cat. #8),Committed,Ann Strenger,,State-wide   ,Tracy Townsend,Ann Strenger,Care Management,"As part of theLTSS program we offer environmental modifications fo our LTSS members, this impliy reviewing and recommending approvals for Environmental modifications (EMODS)/ as well as post-completion inspections (person assisting on this/ contract)","Benefit of Agency directed
14 million US adults need LTSS, provided by Medicaid, private pay, or other public funding programs. By 2050, 27 million will need LTSS, driven by aging Baby Boomers. 65 and older make up 56% of care recipients. 85 and over are the fastest growing segment of  US population and are 4x more likely to need LTSS. ​
To help ensure members live in homes that are conducive to their health and well-being, UHC will provide Home Modifications VAB and environmental modifications (e.g., mold removal)",65+,covered benefit,Desire to remain in community: Reports vary (70% - 90%) but are consistent in that the majority of members would prefer to live and age within the community and prolong placement in a NF for as long as possible.  ,,New in RFP,Differentiator,X,X,,,,Custodial Nursing Facilities,,Delivery Services & Support,,Member Support_Intervention,,,,,,,Yes (for LTSS),,,
9,EMT Training for Suicide Awareness,EMT Training for Suicide Awareness (RFP Cat. #9),Committed,Linda Atencio,,Rural,Linda Atencio,,Community Engagement,"- $60,000 investment in New Mexico Suicide Prevention Coalition to develop EMT Suicide Awareness Training
- Using the latest research regarding first responder mental health support, vetted data, cultural competency, and principals of resource management and program development, the class will help agencies build and maintain programs to assist their personnel throughout their tenure in public safety. 
- Agencies in urbana reas generally have many resources at their disposal, however, rural agencies do not. This training will be aimed at providing EMT suicide awareness training to 17 rural areas of NM
- Please see documentation for more detailed info","- Commitment to preventing suicidality and tailoring solutions to fit unique member needs. Creating unique solutions to address EMTs in rural communities. 
- Creating payer agnostic solutions
- BEcoming a community based health plan by investing in communities.

First responders are no different than the general population in that they have life and family stressors that can manifest into maladaptive behaviors, mental health disorders, and suicide. Additionally, unique stressors associated with career and volunteer emergency responders can impact their mental wellness. Understanding these challenges, as well as knowing how to develop resiliency through effective program development, can help those who are tasked with responding to emergencies. ",rural,,"-In 2020 the New exico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020",https://uhgazure.sharepoint.com/:x:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/02.%20RFP%20Readiness/02.%20Workstream%20%26%20Value%20Adds/08.%20Partnerships/List%20of%20Partnerships.xlsx?d=w828f5631281c4730ab45ba272d63e032&csf=1&web=1&e=aQsbnQ,New in RFP,Differentiator,,,X,,,,,,,,,Member support_Intervention,Wellness and prevention,,Addressing SUD/OUD/AUD,,,,,
10,"Enhanced transportation benefits/
NEMT","Enhanced transportation benefits/
NEMT (RFP Cat. #10)",Committed,Sue Tonkin,,State-wide   ,,,Value-Added Benefit,More Details to come,"We learned about those described below during a September 2022 discussion with Otero County community members. The group included government representatives, CBOs, transportation providers, payers and community members. 
▪	One of every three Community Health Workers clients say members need assistance with transportation
▪	Many members live outside the range of service for NEMT
▪	Members often endure long wait times at the healthcare facility before and after their appointments
▪	Elderly members may not have access to or comfort with using online scheduling programs","Pregnant Women/rural/NA,65+",," 3rd highest elderly rate in the nation 26.5%
Highest rate of elderly in poverty in the nation
50% of NA are rural/50% are urban in state
Huge disparities with other demographics

Food insecurity- NM nationally ranks 44/50*
Poverty rate 20.01% of the population is in poverty — significantly higher  than the national rate of 14.05% — including 28.09% of the  state’s children.",https://uhgazure.sharepoint.com/:b:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/NEMT/Transportation%20Stakeholder%20Roundtable%20Discussion_Summary_Sept%209%202022.pdf?csf=1&web=1&e=zfryzU,New in RFP,Table Stakes,X,,,Rural and Frontier Access to Care,,Person-Centered Planning & Self-Direction,Empower Members,,Empowering members,Empower Members_SDOH elimination,Undisrupted care continuum,Empowering members ande communities,,,,,Yes,,,
