Sl_no,News_title,Label_Sentiment,News_Date,News_Link 
1,"India, Australia look to expand defence industrial cooperation",Positive,22-06-2022,"https://www.thehindu.com/news/national/india-australia-look-to-expand-defence-industrial-cooperation/article65553201.ece
"
2,Amazon introduces fully autonomous robot to work alongside humans,Negative,23-06-2022,https://www.thehindu.com/sci-tech/technology/amazon-introduces-fully-autonomous-robot-to-work-alongside-humans/article65557095.ece
3,"BRICS supports dialogue between Russia, Ukraine",Positive,24-06-2022,"https://www.thehindu.com/news/national/prime-minister-narendra-modi-addresses-the-14th-brics-summit-through-video-conference/article65557491.ece
"
4,COVID-19 vaccines prevented over 42 lakh deaths in India in 2021: study,Positive,25-06-2022,"https://www.thehindu.com/news/national/covid-vaccines-prevented-over-42-lakh-deaths-in-india-in-2021-study/article65561292.ece
"
5,G-7 summit in Bavaria? Elmau from Sunday,Positive,26-06-2022,https://www.thehindu.com/news/national/pm-heads-to-germany-for-g-7-meet/article65564983.ece
6,National Kiteboarding championship to be held in Tuticorin from Monday,Positive,27-06-2022,"https://www.thehindu.com/sport/other-sports/national-kiteboarding-championship-to-be-held-in-tuticorin-from-june-27/article65568585.ece
"
7,"G-7 leaders confer with Zelenskyy, prepare new aid for Ukraine",Positive,28-06-2022,https://www.thehindu.com/news/international/g-7-leaders-confer-with-zelensky-prepare-new-aid-for-ukraine/article65570367.ece
8,"India beat Ireland by 4 runs to pocket series 2-0, Hooda hits century",Positive,29-06-2022,"https://www.thehindu.com/sport/cricket/hoodas-maiden-century-helps-india-beat-ireland-by-4-runs-to-pocket-series-2-0/article65577575.ece
"
9,"US vows to reinforce Europe's defences in the wake of Russia's invasion of Ukraine. President Biden announces US reinforcements of NATO land, air and sea forces in Europe",Negative,30-05-2022,"https://www.jagranjosh.com/current-affairs/current-affairs-today-headline-30-june-2022-1656570169-1
"
10,Ban on single-use plastic kicks in from July 1,Negative,01-07-2022,"https://www.thehindu.com/news/national/india-ban-on-single-use-plastic-kicks-in-from-july-1-2022/article65586698.ece
"
11,Commodities hit July storm with Putin and Powell stirring fear,Negative,02-07-2022,"https://economictimes.indiatimes.com/news/international/world-news/commodities-hit-july-storm-with-putin-and-powell-stirring-fear/articleshow/92624026.cms
"
12,"Eng vs Ind, 5th Test | India's fight back gives us confidence we can do something similar, says James Anderson
 ",Positive,03-07-2022,https://www.thehindu.com/sport/cricket/england-vs-india-5th-test-in-birmingham-indias-fight-back-gives-us-confidence-we-can-do-something-similar-says-james-anderson/article65595015.ece
